Year;Qtr;Risk Class;Type;Car-years of Exposure;Bodily Injury;Property Damage;Comprehensive;Collision;Personal Injury;Bodily Injury;Property Damage;Comprehensive;Collision;Personal Injury
2009;1;SYH;Personal;5.387;236;813;538;1.650;42;2.223.747;1.888.447;1.010.395;3.851.956;171.278
2009;1;MSH;Personal;14.778;687;2.270;2.456;2.066;421;9.558.890;6.091.175;2.318.090;5.046.859;1.802.789
2009;1;SMH;Personal;9.875;358;1.493;3.205;3.333;498;4.008.488;4.935.848;2.196.592;11.121.287;1.022.427
2009;2;SML;Personal;15.285;101;1.687;926;2.582;381;1.378.723;2.699.268;1.211.855;4.124.911;1.091.927
2009;2;LSL;Personal;4.613;21;321;826;447;93;499.405;924.697;1.080.336;1.174.183;450.988
2009;2;MYA;Personal;4.385;87;521;1.217;1.604;92;807.449;1.834.839;1.181.919;4.669.150;400.091
2009;2;SMA;Personal;17.099;97;1.493;4.955;2.057;344;1.565.412;5.999.494;4.221.490;6.324.041;1.557.178
2009;2;MSL;Personal;14.171;162;1.135;4.264;1.637;353;3.136.899;3.449.913;7.747.694;5.200.218;876.172
2009;2;LYL;Personal;3.155;64;269;485;357;111;1.225.869;829.471;595.982;1.013.657;511.101
2009;2;LSA;Personal;21.096;335;2.354;1.696;3.475;715;8.207.727;6.268.448;1.425.199;8.397.741;5.450.024
2009;2;LMA;Personal;25.694;779;2.320;4.070;3.723;1.411;10.831.523;5.764.215;3.632.706;11.338.234;6.171.479
2009;2;SYL;Personal;2.639;106;237;347;234;109;1.220.866;681.470;260.099;643.025;323.302
2009;2;MYL;Personal;2.622;90;260;522;291;87;1.212.992;791.969;329.692;867.152;328.043
2009;2;MYH;Personal;6.809;214;664;308;672;135;3.773.334;3.119.798;352.734;2.055.299;620.841
2009;2;LML;Personal;19.675;159;1.576;5.843;1.735;602;2.221.285;3.001.182;4.781.528;3.039.763;2.463.516
2009;2;MSA;Personal;21.759;333;2.180;3.133;4.126;855;6.355.746;6.743.900;3.555.119;11.571.465;2.950.874
2009;2;LYA;Personal;5.374;166;579;885;767;237;3.286.541;1.720.329;824.673;2.363.845;1.719.497
2009;2;MMA;Personal;35.158;1.013;3.544;7.478;4.789;1.276;12.942.924;11.034.332;9.702.493;14.779.795;11.372.728
2009;2;LYH;Personal;3.834;133;432;574;472;170;1.995.500;1.362.989;589.085;1.340.260;1.121.941
2009;2;SSA;Personal;7.148;221;791;618;1.520;819;4.046.486;1.586.326;496.965;4.054.527;4.086.124
2009;2;MML;Personal;23.514;593;2.293;8.508;2.032;847;8.333.855;7.030.954;4.296.127;6.007.170;1.361.986
2009;2;LMH;Personal;16.760;277;2.046;3.776;2.720;684;8.684.818;7.098.483;2.788.899;7.712.257;5.005.376
2009;2;SSL;Personal;12.665;475;1.269;4.031;1.474;441;5.300.402;3.788.696;3.342.839;4.335.327;991.100
2009;2;SSH;Personal;11.353;344;1.478;3.035;2.006;327;4.623.384;5.705.336;5.317.084;6.713.737;1.062.455
2009;2;MMH;Personal;20.256;863;2.783;3.464;4.108;948;9.678.804;8.112.666;3.540.917;11.017.217;2.271.890
2009;2;SYA;Personal;5.665;243;772;1.917;1.356;279;3.379.719;3.080.373;1.671.059;3.576.857;1.278.633
2009;2;LSH;Personal;10.270;456;1.707;2.443;1.766;626;7.137.806;5.470.124;2.833.203;5.194.960;3.118.830
2009;2;SYH;Personal;5.469;251;938;722;1.477;34;2.628.082;2.288.225;1.026.709;3.546.155;227.175
2009;2;MSH;Personal;15.055;781;2.425;3.347;2.534;303;10.005.699;7.112.223;2.994.861;6.802.126;1.362.776
2009;2;SMH;Personal;10.027;403;1.552;3.796;2.515;394;4.849.170;5.146.762;2.508.138;7.191.741;893.885
2009;3;SML;Personal;15.591;98;1.810;739;2.839;374;1.875.416;2.882.823;994.287;4.114.512;1.213.939
2009;3;LSL;Personal;4.621;21;312;1.232;632;68;646.888;921.705;1.974.756;1.505.062;433.939
2009;3;MYA;Personal;4.412;82;514;514;952;77;874.700;1.642.073;483.207;2.472.768;442.252
2009;3;SMA;Personal;17.268;98;1.533;1.259;2.922;1.782;1.657.410;5.594.882;1.038.966;8.536.828;10.716.133
2009;3;MSL;Personal;14.319;142;1.164;3.016;1.809;326;2.903.857;3.466.410;6.469.909;5.135.437;785.955
2009;3;LYL;Personal;3.229;66;279;415;452;99;1.328.140;852.615;451.516;1.407.778;535.215
2009;3;LSA;Personal;21.293;319;2.510;1.520;4.229;645;7.992.205;6.444.484;2.295.319;9.512.670;5.657.077
2009;3;LMA;Personal;26.054;782;2.251;2.728;4.174;453;13.632.531;5.281.527;2.358.870;11.342.820;2.632.293
2009;3;SYL;Personal;2.654;92;249;318;323;119;1.164.006;683.857;267.819;836.301;496.206
2009;3;MYL;Personal;2.651;87;263;522;333;69;1.248.852;760.995;339.616;907.488;328.170
2009;3;MYH;Personal;7.004;210;752;1.126;1.526;145;4.004.258;3.209.256;1.247.952;4.163.521;886.483
2009;3;LML;Personal;19.947;150;1.616;6.876;2.639;592;2.159.496;3.032.059;9.302.984;4.345.887;3.162.240
2009;3;MSA;Personal;22.013;310;2.325;2.589;4.279;713;6.640.980;7.044.091;3.096.495;11.518.593;3.320.362
2009;3;LYA;Personal;5.459;159;598;799;845;182;3.042.581;1.736.770;738.443;2.450.109;1.363.916
2009;3;MMA;Personal;35.654;973;3.540;6.525;5.188;1.155;13.537.663;10.753.652;7.139.001;14.924.494;11.115.554
2009;3;LYH;Personal;3.862;124;452;574;586;174;1.908.904;1.406.827;655.183;1.468.491;1.518.463
2009;3;SSA;Personal;7.218;221;784;723;996;223;5.072.827;1.426.664;563.874;2.904.020;1.476.566
2009;3;MML;Personal;23.898;552;2.165;6.976;3.384;660;8.040.558;6.407.419;3.812.543;9.770.619;1.679.209
2009;3;LMH;Personal;16.950;249;2.141;3.427;3.768;717;7.928.600;7.183.660;3.160.632;11.893.867;5.900.768
2009;3;SSL;Personal;12.792;445;1.324;3.550;2.141;361;5.462.991;3.837.344;2.846.788;5.539.905;856.037
2009;3;SSH;Personal;11.553;326;1.546;2.190;2.340;284;4.831.019;5.874.332;2.334.045;8.869.823;1.056.873
2009;3;MMH;Personal;20.600;865;2.898;3.294;4.097;946;10.100.172;8.301.799;3.206.570;10.455.653;3.059.378
2009;3;SYA;Personal;5.701;234;802;1.348;1.389;99;4.085.624;2.907.187;1.138.122;4.011.630;604.335
2009;3;LSH;Personal;10.471;446;1.850;3.163;2.956;767;8.753.156;5.383.273;3.553.714;8.552.390;5.072.475
2009;3;SYH;Personal;5.542;238;1.019;727;1.924;43;2.480.594;2.502.533;992.456;4.510.170;297.636
2009;3;MSH;Personal;15.173;728;2.490;5.157;4.638;1.320;11.691.705;6.628.786;4.470.966;12.353.105;7.892.058
2009;3;SMH;Personal;10.092;382;1.602;3.055;2.885;360;4.667.935;5.327.620;2.111.569;9.296.931;1.055.939
2009;4;SML;Personal;15.847;109;1.735;984;2.453;490;1.351.880;2.807.534;1.462.579;3.949.204;1.308.199
2009;4;LSL;Personal;4.667;17;353;996;479;97;363.130;1.005.074;1.437.162;1.518.375;503.591
2009;4;MYA;Personal;4.453;79;540;246;1.216;99;822.582;1.723.586;235.788;3.585.179;417.668
2009;4;SMA;Personal;17.420;94;1.542;2.451;1.871;251;1.695.645;5.617.867;2.061.813;5.643.077;1.105.899
2009;4;MSL;Personal;14.427;134;1.255;2.346;1.714;433;2.687.525;3.866.202;3.714.168;5.703.367;1.107.216
2009;4;LYL;Personal;3.293;66;288;591;378;135;1.304.939;862.711;895.186;1.305.084;666.977
2009;4;LSA;Personal;21.594;298;2.429;2.080;3.868;862;7.565.570;6.154.727;3.588.717;9.439.504;6.651.797
2009;4;LMA;Personal;26.391;736;2.439;7.537;4.529;570;11.491.760;5.714.038;6.643.243;13.967.931;2.426.614
2009;4;SYL;Personal;2.671;97;278;387;290;155;1.097.924;738.271;360.066;885.182;521.605
2009;4;MYL;Personal;2.673;86;285;533;334;85;1.218.165;809.682;381.542;1.055.615;354.559
2009;4;MYH;Personal;7.126;203;738;389;1.514;205;3.907.845;3.142.551;439.393;4.688.205;919.559
2009;4;LML;Personal;19.963;144;1.665;5.917;2.096;773;2.138.892;3.043.068;6.268.723;4.103.678;3.270.444
2009;4;MSA;Personal;21.974;310;2.307;4.048;3.731;943;6.264.040;6.901.043;6.414.056;9.533.921;3.489.410
2009;4;LYA;Personal;5.521;154;608;828;785;239;3.016.825;1.717.711;704.302;2.419.567;1.711.167
2009;4;MMA;Personal;36.113;953;3.813;6.793;5.341;1.560;12.824.412;11.395.381;7.952.535;15.002.335;14.111.301
2009;4;LYH;Personal;3.905;128;453;629;568;251;2.141.140;1.342.160;849.662;1.580.223;1.658.620
2009;4;SSA;Personal;7.327;213;809;2.106;1.833;114;4.381.449;1.470.406;1.673.389;6.068.420;554.454
2009;4;MML;Personal;24.199;537;2.541;7.151;2.635;842;8.245.896;7.553.723;4.290.754;8.607.182;1.614.744
2009;4;LMH;Personal;17.115;246;2.136;3.307;3.040;965;8.379.714;7.177.555;3.879.237;9.439.179;7.791.689
2009;4;SSL;Personal;12.847;424;1.299;4.301;1.611;489;5.126.147;3.667.378;4.078.972;4.536.552;958.764
2009;4;SSH;Personal;11.753;314;1.569;2.570;2.098;374;4.480.343;5.788.689;2.710.718;8.512.355;1.285.308
2009;4;MMH;Personal;20.843;844;2.933;3.983;4.058;1.319;9.637.109;8.407.707;5.206.123;11.222.937;3.285.154
2009;4;SYA;Personal;5.745;222;817;829;1.406;622;3.468.392;2.957.211;713.560;4.610.920;2.776.787
2009;4;LSH;Personal;10.650;441;1.751;2.530;1.847;1.454;7.495.352;5.087.591;2.897.465;5.510.303;7.052.379
2009;4;SYH;Personal;5.619;251;959;819;1.387;56;2.798.601;2.282.456;1.287.294;3.288.679;323.354
2009;4;MSH;Personal;15.353;691;2.593;5.601;3.095;419;9.096.804;6.894.740;4.949.294;8.427.557;1.837.019
2009;4;SMH;Personal;10.191;339;1.602;3.069;2.088;403;4.465.731;5.297.718;2.167.336;6.582.401;909.529
2010;1;SML;Personal;15.908;105;1.675;663;2.978;391;1.259.173;2.731.190;1.005.321;4.438.000;967.481
2010;1;LSL;Personal;4.682;21;412;537;750;88;358.212;1.171.731;642.957;1.985.125;474.915
2010;1;MYA;Personal;4.472;86;508;345;1.237;134;878.670;1.622.458;351.237;3.135.245;550.815
2010;1;SMA;Personal;17.509;105;1.376;1.571;2.674;541;1.856.612;5.010.455;1.403.134;7.620.853;2.317.559
2010;1;MSL;Personal;14.545;161;1.156;2.622;2.042;380;3.185.456;3.347.881;3.481.943;5.820.978;808.024
2010;1;LYL;Personal;3.316;68;270;356;441;118;1.209.114;778.462;428.132;1.533.522;530.584
2010;1;LSA;Personal;21.732;306;2.288;1.571;4.427;639;7.263.723;5.755.301;1.298.692;10.106.218;4.705.183
2010;1;LMA;Personal;26.545;773;2.278;2.437;4.221;1.481;11.829.313;5.332.389;2.281.077;11.189.804;6.127.636
2010;1;SYL;Personal;2.689;98;244;259;359;109;1.045.582;670.119;204.678;945.174;336.482
2010;1;MYL;Personal;2.687;89;263;473;416;95;1.219.095;781.718;322.562;1.140.050;345.964
2010;1;MYH;Personal;7.182;220;674;789;1.336;166;4.256.053;2.870.977;945.902;3.556.767;722.402
2010;1;LML;Personal;20.389;153;1.725;3.719;3.181;587;2.302.714;3.106.941;3.323.523;6.075.549;2.174.837
2010;1;MSA;Personal;22.131;325;2.171;2.310;4.867;910;5.748.955;6.527.377;2.896.181;14.508.518;3.323.796
2010;1;LYA;Personal;5.544;158;556;717;870;268;2.920.933;1.578.566;576.293;2.271.457;1.754.829
2010;1;MMA;Personal;36.322;992;3.629;5.623;6.767;1.362;12.375.596;10.760.864;6.035.385;21.776.087;11.963.845
2010;1;LYH;Personal;3.925;128;433;495;773;177;2.077.523;1.292.430;620.926;2.007.965;977.261
2010;1;SSA;Personal;7.376;228;739;1.553;1.611;325;4.594.797;1.342.236;1.311.072;5.353.850;1.534.707
2010;1;MML;Personal;24.337;577;2.643;5.366;3.935;883;8.332.632;7.615.211;2.973.811;12.155.074;1.453.361
2010;1;LMH;Personal;17.161;268;2.054;3.387;4.108;690;8.277.530;6.726.188;1.374.691;14.352.058;5.471.369
2010;1;SSL;Personal;13.076;451;1.232;3.134;2.012;435;5.080.631;3.377.007;2.669.970;5.159.812;858.840
2010;1;SSH;Personal;11.845;323;1.443;1.762;2.178;323;4.241.722;5.352.942;1.755.445;8.900.396;1.013.680
2010;1;MMH;Personal;20.916;847;2.717;2.629;5.039;1.010;9.084.594;7.771.704;3.299.225;12.535.831;2.236.277
2010;1;SYA;Personal;5.808;240;765;1.016;1.258;152;3.679.105;2.766.247;928.594;4.174.102;657.676
2010;1;LSH;Personal;10.648;460;1.623;1.814;3.252;617;7.926.029;4.711.236;2.206.528;9.178.934;2.906.920
2010;1;SYH;Personal;5.675;250;959;560;1.645;38;2.390.706;2.204.648;1.045.714;3.558.986;212.270
2010;1;MSH;Personal;15.436;736;2.426;2.630;2.186;491;9.935.424;6.446.090;2.468.424;5.678.877;2.090.684
2010;1;SMH;Personal;10.236;381;1.591;3.421;3.267;534;4.452.106;5.205.093;2.330.974;11.496.344;1.091.972
2010;2;SML;Personal;15.959;105;1.685;929;2.652;388;1.427.922;2.797.028;1.154.894;4.481.644;1.191.831
2010;2;LSL;Personal;4.660;21;377;773;547;91;502.606;1.071.337;960.660;1.518.223;473.699
2010;2;MYA;Personal;4.444;88;516;1.181;911;91;812.136;1.791.334;1.090.359;2.803.824;422.142
2010;2;SMA;Personal;17.446;99;1.466;4.784;2.334;345;1.585.706;5.806.302;3.873.090;7.149.039;1.676.509
2010;2;MSL;Personal;14.439;165;1.131;4.180;1.542;351;3.174.294;3.387.170;9.602.083;5.181.348;933.512
2010;2;LYL;Personal;3.282;67;271;479;383;112;1.264.909;823.676;560.214;1.120.706;555.207
2010;2;LSA;Personal;21.525;342;2.325;1.647;3.849;710;8.569.999;6.101.710;1.315.055;9.836.935;5.550.254
2010;2;LMA;Personal;26.454;802;2.333;2.802;5.246;1.810;11.072.795;5.501.103;2.376.574;14.796.408;8.481.687
2010;2;SYL;Personal;2.681;106;235;336;274;107;1.212.309;666.647;239.133;795.785;341.468
2010;2;MYL;Personal;2.675;91;258;493;329;88;1.227.039;777.375;296.099;1.036.567;352.027
2010;2;MYH;Personal;7.098;221;664;311;784;136;3.869.174;3.077.529;337.982;2.534.419;672.074
2010;2;LML;Personal;20.181;164;1.550;5.552;2.125;599;2.263.862;2.909.502;4.317.557;3.651.879;2.788.361
2010;2;MSA;Personal;22.011;337;2.120;3.031;3.612;845;6.382.856;6.463.466;3.268.328;11.116.689;3.124.808
2010;2;LYA;Personal;5.510;169;570;846;825;238;3.313.035;1.670.921;749.441;2.687.269;1.564.281
2010;2;MMA;Personal;36.008;1.037;3.554;7.140;5.380;1.275;13.161.381;10.908.447;8.804.679;17.558.796;12.169.994
2010;2;LYH;Personal;3.896;134;431;540;582;168;1.996.067;1.339.756;526.691;1.748.867;1.188.205
2010;2;SSA;Personal;7.302;226;773;585;1.755;602;4.104.697;1.528.153;447.376;5.318.271;3.219.610
2010;2;MML;Personal;24.224;603;2.311;6.831;2.580;850;8.422.064;6.986.740;3.278.480;8.066.533;1.465.499
2010;2;LMH;Personal;17.105;282;2.027;3.592;3.089;677;9.363.495;6.931.337;2.521.390;9.333.005;5.312.234
2010;2;SSL;Personal;12.942;481;1.254;3.972;1.677;439;5.336.175;3.691.314;3.130.295;5.216.025;963.122
2010;2;SSH;Personal;11.637;349;1.466;2.939;1.868;328;4.660.113;5.579.190;4.894.902;7.584.250;1.142.698
2010;2;MMH;Personal;20.806;886;2.790;3.339;4.163;949;9.871.346;8.017.405;3.244.414;10.975.094;2.537.901
2010;2;SYA;Personal;5.759;245;786;1.363;1.505;276;3.386.961;3.094.019;1.129.436;4.549.777;1.358.226
2010;2;LSH;Personal;10.609;468;1.816;2.362;2.193;633;7.272.750;5.738.038;2.602.608;6.861.180;3.383.384
2010;2;SYH;Personal;5.601;257;933;699;1.504;34;2.874.635;2.241.658;944.949;3.669.076;176.978
2010;2;MSH;Personal;15.312;786;2.412;3.170;2.650;299;9.988.974;6.971.762;2.695.745;8.365.763;1.441.155
2010;2;SMH;Personal;10.168;406;1.516;2.999;2.266;390;4.846.960;4.955.752;1.882.861;6.916.900;948.860
2010;3;SML;Personal;16.075;96;1.847;2.156;2.966;381;1.601.192;2.975.527;5.234.994;4.375.622;1.137.412
2010;3;LSL;Personal;4.673;21;355;1.978;540;67;438.403;1.060.434;5.050.562;1.416.535;362.447
2010;3;MYA;Personal;4.479;81;524;1.231;1.395;78;936.331;1.695.053;1.573.545;3.689.383;413.749
2010;3;SMA;Personal;17.596;95;1.552;3.436;2.682;771;1.906.214;5.727.892;5.164.626;7.976.193;4.265.724
2010;3;MSL;Personal;14.502;139;1.183;5.469;1.775;322;3.183.715;3.564.757;21.949.820;5.131.308;962.448
2010;3;LYL;Personal;3.302;65;285;946;424;99;1.245.764;881.964;1.975.783;1.342.703;505.173
2010;3;LSA;Personal;21.649;312;2.552;2.942;3.897;643;8.467.589;6.627.821;7.155.128;8.923.717;5.115.578
2010;3;LMA;Personal;26.593;774;2.306;6.877;4.292;463;13.437.208;5.471.944;10.784.198;11.873.849;2.472.979
2010;3;SYL;Personal;2.682;90;254;744;327;116;1.130.858;703.825;1.190.898;864.314;446.479
2010;3;MYL;Personal;2.678;85;267;942;362;70;1.221.335;779.631;1.008.167;1.002.230;305.115
2010;3;MYH;Personal;7.148;208;763;2.322;1.396;142;4.568.446;3.294.760;3.428.973;3.878.799;796.257
2010;3;LML;Personal;20.305;146;1.633;9.972;2.284;579;2.392.346;3.099.069;19.380.599;4.135.841;2.843.225
2010;3;MSA;Personal;22.083;298;2.319;6.088;3.942;709;6.349.697;6.875.767;11.764.860;10.315.677;2.753.447
2010;3;LYA;Personal;5.553;157;605;1.676;821;187;2.906.980;1.777.870;2.944.040;2.424.451;1.428.989
2010;3;MMA;Personal;36.140;954;3.610;12.262;5.876;1.149;12.257.275;11.093.283;23.919.372;17.210.566;11.145.409
2010;3;LYH;Personal;3.921;121;462;1.186;699;171;1.917.490;1.455.743;2.544.023;1.781.612;1.371.740
2010;3;SSA;Personal;7.346;218;791;2.087;901;234;4.986.792;1.456.592;2.597.337;2.941.446;1.423.919
2010;3;MML;Personal;24.441;543;2.229;8.865;2.882;667;7.869.626;6.672.733;5.958.559;8.758.453;1.563.644
2010;3;LMH;Personal;17.304;249;2.185;6.214;3.468;706;8.389.340;7.418.450;10.884.084;11.143.325;5.905.300
2010;3;SSL;Personal;13.022;438;1.344;4.985;1.961;363;5.213.954;3.940.077;6.555.812;5.164.904;887.963
2010;3;SSH;Personal;11.789;322;1.574;3.063;2.048;286;4.211.447;6.049.988;5.976.066;7.903.677;1.032.782
2010;3;MMH;Personal;20.830;850;2.943;7.230;4.380;931;9.877.336;8.527.744;11.246.875;11.379.559;2.307.439
2010;3;SYA;Personal;5.796;231;817;2.276;1.033;101;3.551.869;2.996.810;2.423.352;3.347.632;564.879
2010;3;LSH;Personal;10.738;441;1.878;4.020;2.567;786;8.622.157;5.527.624;6.925.386;8.075.791;4.788.253
2010;3;SYH;Personal;5.622;234;1.000;1.503;1.693;42;2.434.918;2.483.880;2.601.095;3.917.447;266.861
2010;3;MSH;Personal;15.386;711;2.539;7.311;3.905;1.297;11.361.235;6.837.135;9.819.595;11.368.607;7.137.760
2010;3;SMH;Personal;10.209;374;1.614;4.101;2.527;361;4.998.607;5.430.770;4.517.826;8.287.991;974.942
2010;4;SML;Personal;16.109;116;1.817;1.078;2.706;507;2.048.598;2.990.081;1.586.253;4.448.035;1.317.312
2010;4;LSL;Personal;4.666;17;389;1.068;505;98;449.021;1.128.046;1.526.909;1.484.297;555.362
2010;4;MYA;Personal;4.503;82;566;267;1.302;107;889.053;1.838.405;253.979;3.920.405;438.155
2010;4;SMA;Personal;17.830;102;1.626;2.696;2.070;364;1.892.535;6.026.327;2.245.940;6.594.444;1.558.344
2010;4;MSL;Personal;14.661;145;1.324;2.564;1.671;435;2.918.326;4.146.876;4.020.600;5.677.875;1.082.431
2010;4;LYL;Personal;3.377;70;306;651;422;141;1.352.374;930.630;977.259;1.402.754;674.417
2010;4;LSA;Personal;22.231;320;2.588;2.301;3.882;880;8.139.028;6.667.823;3.932.192;9.672.649;6.606.031
2010;4;LMA;Personal;26.777;771;2.563;8.218;4.049;1.269;10.891.985;6.106.888;7.172.877;12.749.068;5.251.163
2010;4;SYL;Personal;2.728;104;295;425;317;144;1.214.463;795.447;391.408;986.610;472.108
2010;4;MYL;Personal;2.747;91;304;588;372;99;1.340.603;877.173;416.925;1.198.249;400.821
2010;4;MYH;Personal;7.384;219;789;678;1.695;191;4.253.879;3.417.469;758.155;5.359.404;829.756
2010;4;LML;Personal;20.183;151;1.732;6.424;2.246;714;2.227.828;3.218.986;6.740.268;4.490.254;2.939.661
2010;4;MSA;Personal;22.005;324;2.383;4.357;4.067;977;6.757.942;7.249.306;6.837.433;11.737.899;3.515.462
2010;4;LYA;Personal;5.560;162;631;896;789;277;3.442.537;1.812.122;754.304;2.482.628;1.930.614
2010;4;MMA;Personal;36.410;994;3.998;7.351;5.844;1.573;12.819.071;12.149.636;8.522.904;18.561.156;13.828.795
2010;4;LYH;Personal;3.989;136;481;690;685;235;2.226.024;1.448.022;923.434;1.806.735;1.507.692
2010;4;SSA;Personal;7.556;227;859;2.333;2.036;156;4.811.783;1.588.081;1.835.662;6.829.051;737.691
2010;4;MML;Personal;24.836;581;2.712;7.883;2.846;924;8.402.355;8.199.947;4.684.224;9.491.195;1.721.835
2010;4;LMH;Personal;17.575;264;2.272;4.023;3.380;902;8.734.835;7.765.699;4.672.960;11.749.889;7.073.422
2010;4;SSL;Personal;13.260;458;1.384;3.918;1.798;525;4.983.527;3.975.435;3.679.837;5.169.415;1.104.874
2010;4;SSH;Personal;11.967;334;1.651;2.815;1.960;391;4.445.236;6.196.606;2.939.588;8.360.884;1.307.748
2010;4;MMH;Personal;21.225;892;3.101;4.362;4.483;1.299;10.514.141;9.041.865;5.645.835;12.657.141;3.143.894
2010;4;SYA;Personal;5.856;235;863;907;943;683;3.793.034;3.175.562;772.764;3.157.764;2.964.308
2010;4;LSH;Personal;10.889;470;1.843;2.780;1.996;1.643;8.534.425;5.445.166;3.152.600;6.492.204;7.747.725
2010;4;SYH;Personal;5.742;265;1.015;899;1.595;50;3.273.266;2.455.476;1.399.204;3.860.431;282.619
2010;4;MSH;Personal;15.548;732;2.521;6.092;2.309;452;11.125.783;6.816.729;5.330.707;6.894.547;1.927.434
2010;4;SMH;Personal;10.399;362;1.688;3.363;2.271;443;4.445.129;5.676.525;2.351.603;8.144.029;970.524
2011;1;SML;Personal;16.400;108;1.732;802;3.006;399;1.319.990;2.645.820;1.207.988;4.381.584;1.035.685
2011;1;LSL;Personal;4.755;21;419;563;713;90;376.387;1.174.677;670.889;2.273.775;386.041
2011;1;MYA;Personal;4.564;86;520;408;997;131;811.836;1.633.595;413.023;2.470.830;567.395
2011;1;SMA;Personal;17.943;108;1.416;1.787;2.675;1.556;1.763.957;5.072.268;1.586.909;8.528.774;7.004.309
2011;1;MSL;Personal;14.891;161;1.184;1.362;1.988;393;3.228.713;3.373.257;1.798.092;5.542.504;879.248
2011;1;LYL;Personal;3.413;69;278;416;499;121;1.247.623;791.556;496.809;1.752.493;569.491
2011;1;LSA;Personal;22.408;309;2.366;1.842;4.470;666;7.687.437;5.856.472;1.513.223;9.981.867;5.150.736
2011;1;LMA;Personal;27.161;774;2.330;3.007;4.009;676;10.894.585;5.369.241;2.797.448;11.998.437;2.940.517
2011;1;SYL;Personal;2.741;99;248;299;350;118;1.066.495;672.353;235.230;902.430;381.805
2011;1;MYL;Personal;2.755;89;270;502;417;92;1.249.745;791.423;339.947;1.119.147;350.737
2011;1;MYH;Personal;7.456;224;702;989;1.349;186;4.406.069;2.942.649;1.178.645;3.512.576;849.539
2011;1;LML;Personal;20.885;157;1.773;3.941;3.064;639;2.400.017;3.261.722;3.500.390;5.942.294;2.487.816
2011;1;MSA;Personal;22.615;326;2.225;2.721;4.912;916;5.852.340;6.584.351;3.389.620;14.570.808;3.122.968
2011;1;LYA;Personal;5.654;158;568;777;848;254;2.965.641;1.572.324;620.781;2.166.158;1.706.228
2011;1;MMA;Personal;37.071;990;3.703;6.061;6.795;1.390;12.564.214;10.807.578;6.466.320;22.125.737;12.484.232
2011;1;LYH;Personal;4.022;129;444;524;859;192;2.124.587;1.303.119;653.306;2.183.826;1.114.939
2011;1;SSA;Personal;7.620;231;766;1.660;1.612;295;4.733.687;1.368.691;1.392.105;5.415.757;1.461.596
